date,2016-04-01 00:00:00,2016-04-02 00:00:00,2016-04-03 00:00:00,2016-04-04 00:00:00,2016-04-05 00:00:00,2016-04-06 00:00:00,2016-04-07 00:00:00,2016-04-08 00:00:00,2016-04-09 00:00:00,2016-04-10 00:00:00,2016-04-11 00:00:00,2016-04-12 00:00:00,2016-04-13 00:00:00,2016-04-14 00:00:00,2016-04-15 00:00:00,2016-04-16 00:00:00,2016-04-17 00:00:00,2016-04-18 00:00:00,2016-04-19 00:00:00,2016-04-20 00:00:00,2016-04-21 00:00:00,2016-04-22 00:00:00,2016-04-23 00:00:00,2016-04-24 00:00:00,2016-04-25 00:00:00,2016-04-26 00:00:00,2016-04-27 00:00:00,2016-04-28 00:00:00,2016-04-29 00:00:00,2016-04-30 00:00:00,2016-05-01 00:00:00,2016-05-02 00:00:00,2016-05-03 00:00:00,2016-05-04 00:00:00,2016-05-05 00:00:00,2016-05-06 00:00:00,2016-05-07 00:00:00,2016-05-08 00:00:00,2016-05-09 00:00:00,2016-05-10 00:00:00,2016-05-11 00:00:00,2016-05-12 00:00:00,2016-05-13 00:00:00,2016-05-14 00:00:00,2016-05-15 00:00:00,2016-05-16 00:00:00,2016-05-17 00:00:00,2016-05-18 00:00:00,2016-05-19 00:00:00,2016-05-20 00:00:00
A062,17531,14649,16506,24436,22927,16585,15754,23138,14637,19587,14642,17916,32357,19078,16406,24942,16586,22476,16137,8473,21635,15108,8683,12413,13567,21209,11162,17769,13102,14039,10025,7533,10894,16615,16084,17118,15066,1529,6156,16928,18052,17457,28042,15819,5577,22325,15388,24065,17757,10687
A063,16256,20429,6360,31950,23337,16048,17028,15103,11161,9669,9439,16900,17693,16932,14206,16613,12663,14955,15334,15532,6722,2288,7917,11879,13613,12460,19744,8435,5464,8785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A065,6727,7184,4984,24197,19971,10959,11528,15340,17654,8810,9362,11573,986,13483,4177,11378,179,12203,8382,9054,17440,11797,7345,9992,9984,7644,15028,8328,1166,5215,7038,8919,15281,9532,13514,11083,5251,3430,6972,10368,426,9673,11798,1699,4449,12038,9947,9129,7623,4420
A066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A068,11838,6289,13573,14979,18203,12609,15514,19665,8209,1664,15964,14917,12332,15086,13524,6141,1582,10349,14841,14283,11063,11793,11116,10046,12817,17097,10675,12145,17333,14442,4887,12122,9964,11716,9764,8962,3765,4749,15831,12416,7852,17560,18678,8686,6936,9228,11852,13142,12251,14482
A069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A071,7298,13739,2781,13751,9370,15834,11575,3365,21030,4957,8367,8849,8882,14749,8385,1232,9916,13802,5767,11463,10070,12756,15478,4972,13087,9935,10432,6763,9173,12012,11232,7182,1708,8763,8171,8506,1371,13145,11794,6728,14539,13133,0,0,0,0,0,0,0,0
A072,19294,10638,6520,8342,11878,9874,9427,17118,14430,7145,7411,6484,1530,12391,4873,13186,9534,9086,7358,10132,6017,10293,9130,12579,9683,9053,7632,11781,5321,10974,10324,9920,6609,7120,978,308,13026,3614,10935,7677,7565,10497,14443,7885,10705,7912,3606,9915,11713,14229
A073,8834,0,4433,10023,2079,9032,6434,6625,3429,2402,8997,5787,2638,7310,10653,1452,2226,9233,1467,7940,6664,9007,1242,1687,10742,3556,8859,7238,8126,1718,1485,7429,5316,7736,4717,5945,4431,1883,10713,4268,8159,7338,7860,2286,1580,10264,6292,7227,5876,8503
A074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A080,15654,8358,1059,15038,11730,9162,15191,16331,4739,1258,8541,12259,4189,11053,5040,4749,7026,6618,10781,9912,7525,4509,3915,6278,9993,11856,8209,10925,7506,2408,829,6683,12770,7497,1657,593,1560,3911,15620,9005,6711,13471,14221,4700,8018,10113,11698,10506,13357,8621
A081,12859,4413,3412,10019,6736,13651,8454,10634,2446,3287,7972,15226,4872,8418,11361,6523,2721,9491,11753,10273,13699,7628,8610,3765,11869,10112,10902,13167,10047,10827,6301,4651,7318,12104,7548,6436,8323,11517,5724,6691,11847,8025,9218,4096,3284,8121,7715,10523,13301,5841
A082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A083,11970,7766,13763,13018,14583,21335,19956,28999,33941,23202,28030,32075,10593,25019,19781,10295,12555,14115,15630,5980,9138,8652,9697,9301,19297,18144,7904,10917,11670,1925,17096,8864,11420,14109,12297,11132,7719,22310,18168,21747,16760,14134,21448,13316,15269,23644,24438,10162,24575,24728
A084,17038,6914,23013,14963,6792,8238,5978,10935,8924,4879,7234,9964,8032,6771,7915,14185,8996,9516,4476,8408,10348,8871,21359,4657,8394,7713,9718,9191,8549,4381,7051,9581,7284,11660,6357,7528,13869,8014,6229,3708,9538,9320,12668,10333,6794,9501,8346,5829,3348,0
A085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A092,20023,2557,6144,11401,15548,13495,18413,17007,11761,4774,12249,16490,11088,7920,12465,16695,6327,13978,13982,18323,12897,10708,9004,5775,13957,12934,14877,11014,15288,9352,6385,12800,11998,14427,11133,6703,7471,8104,685,9481,16093,8359,14221,9881,1688,6770,13260,14640,11795,7572
A093,11040,3334,9984,13613,16839,13817,18584,1735,2867,5874,11334,7910,15431,14681,10847,5804,8478,9418,13713,5716,17409,8571,4489,10323,12123,13685,10703,17010,8509,5307,7633,5250,14498,11915,10312,11555,7428,13515,10128,13086,8437,13427,3846,4393,5377,11059,13377,8106,12985,3718
A094,13572,5975,13565,20958,12058,18773,12179,23749,22123,8900,24279,13776,15948,20834,17973,1786,19315,14000,17925,15821,17529,5156,5934,1846,24789,11592,17366,10342,22420,6460,20275,18887,6797,13807,2191,4523,25831,4,16221,16855,14780,4675,3551,10061,9854,25478,9455,12773,5033,7439
A095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A096,12123,15756,1044,21494,17585,10983,13216,23665,11782,6811,0,0,757,19497,17882,10718,14477,9266,18533,12799,21399,13259,14283,7566,3459,12288,16848,17465,15702,17570,98,0,0,0,6425,6918,7526,12386,14826,8924,2033,0,0,0,0,12613,22280,11792,3792,14443
A097,2342,8278,472,10216,6223,6915,3843,2295,15764,6,8505,7276,1710,3365,2199,5933,6740,4441,5163,9740,3232,0,4127,6797,11046,4873,5761,7319,2949,3161,0,3526,4536,9181,5364,6639,10947,1041,6906,8114,9409,8571,8222,3925,2682,3449,5908,9535,2844,4886
A098,0,0,0,0,0,0,0,0,0,1855,9236,6716,1670,10811,7985,2718,1422,10970,7618,8369,12324,10898,3755,1727,8474,11214,12510,8297,6951,6274,9324,10637,9868,8598,3510,1731,5020,8866,9581,4351,7266,12371,1476,4676,9286,9559,3560,7326,7886,8541
