date,2016-04-01 00:00:00,2016-04-02 00:00:00,2016-04-03 00:00:00,2016-04-04 00:00:00,2016-04-05 00:00:00,2016-04-06 00:00:00,2016-04-07 00:00:00,2016-04-08 00:00:00,2016-04-09 00:00:00,2016-04-10 00:00:00,2016-04-11 00:00:00,2016-04-12 00:00:00,2016-04-13 00:00:00,2016-04-14 00:00:00,2016-04-15 00:00:00,2016-04-16 00:00:00,2016-04-17 00:00:00,2016-04-18 00:00:00,2016-04-19 00:00:00,2016-04-20 00:00:00,2016-04-21 00:00:00,2016-04-22 00:00:00,2016-04-23 00:00:00,2016-04-24 00:00:00,2016-04-25 00:00:00,2016-04-26 00:00:00,2016-04-27 00:00:00,2016-04-28 00:00:00,2016-04-29 00:00:00,2016-04-30 00:00:00,2016-05-01 00:00:00,2016-05-02 00:00:00,2016-05-03 00:00:00,2016-05-04 00:00:00,2016-05-05 00:00:00,2016-05-06 00:00:00,2016-05-07 00:00:00,2016-05-08 00:00:00,2016-05-09 00:00:00,2016-05-10 00:00:00,2016-05-11 00:00:00,2016-05-12 00:00:00,2016-05-13 00:00:00,2016-05-14 00:00:00,2016-05-15 00:00:00,2016-05-16 00:00:00,2016-05-17 00:00:00,2016-05-18 00:00:00,2016-05-19 00:00:00,2016-05-20 00:00:00
A085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A092,16500000,26700000,25980000,26700000,25980000,23280000,22920000,22320000,22980000,22260000,15180000,27540000,28020000,33660000,36660000,13020000,23580000,26640000,4200000,21660000,19020000,15600000,22560000,29220000,33060000,20160000,30960000,17520000,26040000,20100000,27120000,28740000,20400000,21420000,25800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A093,18060000,14460000,16620000,18960000,29040000,22980000,20520000,30120000,18720000,15300000,17520000,17820000,22560000,19800000,19200000,30000000,34200000,19200000,31560000,20700000,18660000,39540000,27780000,9600000,16800000,15300000,15780000,36120000,11820000,30420000,36360000,20100000,22920000,22680000,23580000,21480000,26460000,17880000,13860000,35400000,24000000,25860000,21480000,21240000,20760000,25260000,9180000,27600000,0,0
A094,16380000,31680000,16800000,28920000,11160000,18720000,19380000,28200000,29280000,28740000,17640000,24720000,16800000,9960000,16320000,28500000,20400000,22800000,24060000,18540000,20400000,9960000,39780000,21780000,34500000,19140000,27840000,18960000,38460000,28800000,16920000,32520000,6360000,28260000,26580000,19200000,30300000,24600000,8160000,25920000,28980000,6960000,20820000,42600000,0,0,0,0,0,0
A095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A096,9420000,24300000,27000000,23760000,37380000,16440000,31020000,26280000,23760000,19440000,32700000,15720000,27840000,17940000,39240000,7860000,30540000,17640000,46080000,39000000,19800000,14880000,23580000,12840000,12180000,21600000,14580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A097,30960000,23460000,17580000,31440000,21720000,25440000,35400000,17700000,34380000,15780000,30000000,35700000,15780000,32520000,35760000,16680000,33540000,29640000,35280000,34500000,26760000,31140000,29940000,23040000,25680000,27780000,33600000,27060000,32880000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A098,27000000,14940000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
