date,A01,A02,A03,A04,A05,A06,A07,A08,A09,A010,A011,A012,A013,A014,A015,A016,A017,A018,A019,A020,A021,A022,A023,A024,A025,A026,A027,A028,A029,A030,A031,A032,A033,A034,A035,A036,A037,A038,A039,A040,A041,A042,A043,A044,A045,A046,A047,A048,A049,A050,A051,A052,A053,A054,A055,A056,A057,A058,A059,A060,A061,A062,A063,A064,A065,A066,A067,A068,A069,A070,A071,A072,A073,A074,A075,A076,A077,A078,A079,A080,A081,A082,A083,A084,A085,A086,A087,A088,A089,A090,A091,A092,A093,A094,A095,A096,A097,A098
2016-04-11 00:00:00,17171,11068,9392,16379,19434,15659,13518,20993,0,6286,0,0,0,0,0,17300,12785,15426,28030,23751,6364,9698,0,10937,24696,17869,9362,7728,15592,14584,7964,15527,9439,7084,9506,8342,8541,14756,12752,21977,7871,10881,22286,12472,16842,0,6127,8997,9401,9685,0,20993,10001,20279,0,13018,11793,6680,13339,5480,0,14642,9439,0,9362,0,0,15964,0,0,8367,7411,8997,0,0,0,0,0,0,8541,7972,0,28030,7234,0,0,0,0,0,0,0,12249,11334,24279,0,0,8505,9236
2016-04-12 00:00:00,8423,2658,9704,7483,16226,16502,19813,9691,0,9714,0,0,0,0,0,15225,15871,19015,32075,21716,11181,10006,0,17385,18134,15235,11573,12955,27723,15448,9578,13957,16900,12016,14795,8554,12259,13460,14882,15192,10663,15650,24824,12619,18751,0,9381,5787,5945,12191,0,9691,12921,13807,0,14346,5297,12544,221,11654,0,17916,16900,0,11573,0,0,14917,0,0,8849,6484,5787,0,0,0,0,0,0,12259,15226,0,32075,9964,0,0,0,0,0,0,0,16490,7910,13776,0,0,7276,6716
2016-04-13 00:00:00,4049,1002,13783,21906,7551,25934,9716,8524,0,3337,0,0,0,0,0,16475,17775,11572,10593,1113,5965,9011,0,20245,31148,25973,986,16894,10756,20023,2663,20923,17693,5933,8653,4929,4189,29915,12130,17998,5088,7093,13787,23809,23208,0,732,2638,4689,12827,0,8524,6366,15765,0,15706,5131,3499,7,11732,757,32357,17693,0,986,0,0,12332,0,0,8882,1530,2638,0,0,0,0,0,0,4189,4872,0,10593,8032,0,0,0,0,0,0,0,11088,15431,15948,0,757,1710,1670
2016-04-14 00:00:00,13419,11142,6617,13641,6956,17649,17474,15384,0,5360,0,0,0,0,0,12732,17119,8940,25019,12502,6620,10083,0,16851,21809,12407,13483,9523,30591,12036,13953,16509,16932,15866,15278,6004,11053,16703,16012,18940,10713,12439,12507,9933,14061,0,6140,7310,8947,17271,0,15384,11068,6059,0,12653,52,8732,8728,11015,19497,19078,16932,0,13483,0,0,15086,0,0,14749,12391,7310,0,0,0,0,0,0,11053,8418,0,25019,6771,0,0,0,0,0,0,0,7920,14681,20834,0,19497,3365,10811
2016-04-15 00:00:00,14750,10761,11994,15050,0,15342,14744,12359,0,3403,0,0,0,0,0,16163,15530,25846,19781,24440,7894,7124,0,19483,26275,20586,4177,4156,21411,7411,13979,17780,14206,203,10795,11696,5040,23523,10105,19353,12746,18247,14686,10850,16998,0,12581,10653,9000,8437,0,12359,29,29090,0,14501,0,3265,5062,10644,17882,16406,14206,0,4177,0,0,13524,0,0,8385,4873,10653,0,0,0,0,0,0,5040,11361,0,19781,7915,0,0,0,0,0,0,0,12465,10847,17973,0,17882,2199,7985
2016-04-16 00:00:00,10556,10224,2112,14008,0,22867,1906,8271,0,3486,0,0,0,0,0,10594,3594,13977,10295,8178,8269,1888,0,12043,19665,29117,11378,1398,844,2020,2850,7655,16613,11559,7886,5580,4749,10943,8276,22472,7143,7043,27326,10918,9088,0,10257,1452,1553,3300,0,8271,3569,16994,0,10139,67,2627,8510,9198,10718,24942,16613,0,11378,0,0,6141,0,0,1232,13186,1452,0,0,0,0,0,0,4749,6523,0,10295,14185,0,0,0,0,0,0,0,16695,5804,1786,0,10718,5933,2718
2016-04-17 00:00:00,9467,8882,14033,6353,0,11951,6273,15868,0,1459,0,0,0,0,0,15739,1629,15917,12555,1055,850,1886,0,13692,27305,31812,179,10236,20497,5633,10306,13003,12663,522,3885,2348,7026,11158,9457,22026,571,14273,29033,5369,16378,0,1044,2226,2819,5656,0,15868,876,10303,0,10098,10779,4056,9917,8541,14477,16586,12663,0,179,0,0,1582,0,0,9916,9534,2226,0,0,0,0,0,0,7026,2721,0,12555,8996,0,0,0,0,0,0,0,6327,8478,19315,0,14477,6740,1422
2016-04-18 00:00:00,14508,5210,7177,12905,0,16853,11158,14550,0,6442,0,0,0,0,0,13631,12818,15381,14115,15328,11281,8376,0,18453,20764,24024,12203,15482,5346,9366,8042,11503,14955,8125,13660,10162,6618,11477,14618,16413,7310,10687,3606,12628,20818,0,7684,9233,6825,7352,0,14550,10540,23353,0,8418,7947,3341,8476,4405,9266,22476,14955,0,12203,0,0,10349,0,0,13802,9086,9233,0,0,0,0,0,0,6618,9491,0,14115,9516,0,0,0,0,0,0,0,13978,9418,14000,0,9266,4441,10970
2016-04-19 00:00:00,8912,12027,8347,13232,0,13819,16919,13515,0,7890,0,0,0,0,0,13303,19175,13413,15630,13279,1134,11174,0,20271,22111,19277,8382,9399,20236,11011,10289,13265,15334,13087,11586,9651,10781,14697,11615,12052,11184,10615,17922,13197,18511,0,6459,1467,8816,10557,0,13515,8403,10454,0,13381,6748,5962,10961,10875,18533,16137,15334,0,8382,0,0,14841,0,0,5767,7358,1467,0,0,0,0,0,0,10781,11753,0,15630,4476,0,0,0,0,0,0,0,13982,13713,17925,0,18533,5163,7618
2016-04-20 00:00:00,4988,8450,6049,15945,0,18138,9699,12535,0,9661,0,0,0,0,0,15942,14697,12778,5980,10129,6345,7243,0,20283,16229,23613,9054,7065,20976,12300,19130,14632,15532,11359,5958,5968,9912,2813,11973,17449,10458,16041,23472,15216,10028,0,4624,7940,6480,5910,0,12535,4152,24969,0,15309,4114,10102,11183,10041,12799,8473,15532,0,9054,0,0,14283,0,0,11463,10132,7940,0,0,0,0,0,0,9912,10273,0,5980,8408,0,0,0,0,0,0,0,18323,5716,15821,0,12799,9740,8369
2016-04-21 00:00:00,9838,5697,7339,9785,0,13851,13805,13283,0,3997,0,0,0,0,0,12029,10293,19162,9138,15293,2960,10035,0,15346,25090,31888,17440,5044,8914,13424,23017,15173,6722,20104,5967,5696,7525,2619,7707,20268,8791,13703,27443,10246,13046,0,5701,6664,6029,9120,0,13283,8343,13998,0,11290,0,5963,7202,13025,21399,21635,6722,0,17440,0,0,11063,0,0,10070,6017,6664,0,0,0,0,0,0,7525,13699,0,9138,10348,0,0,0,0,0,0,0,12897,17409,17529,0,21399,3232,12324
2016-04-22 00:00:00,16571,6364,9327,11808,0,12086,12396,15780,0,583,0,0,0,0,0,12806,17501,19810,8652,12732,8796,1207,0,14998,22562,30282,11797,6303,26188,3579,14316,12657,2288,2359,11556,8520,4509,9664,3646,10190,8052,12303,23483,6751,20253,0,7598,9007,1212,4326,0,15780,4970,23332,0,9695,0,9616,5714,6561,13259,15108,2288,0,11797,0,0,11793,0,0,12756,10293,9007,0,0,0,0,0,0,4509,7628,0,8652,8871,0,0,0,0,0,0,0,10708,8571,5156,0,13259,0,10898
2016-04-23 00:00:00,2933,2421,4540,16499,0,7529,2934,11905,0,1059,0,0,0,0,0,4869,15929,18428,9697,29202,5767,2132,0,12725,20496,31421,7345,9632,21510,2482,9363,11407,7917,5071,6750,1511,3915,21039,8762,21443,1469,10016,17334,2733,18708,0,997,1242,648,7558,0,11905,4856,12782,0,4354,0,3502,2462,8728,14283,8683,7917,0,7345,0,0,11116,0,0,15478,9130,1242,0,0,0,0,0,0,3915,8610,0,9697,21359,0,0,0,0,0,0,0,9004,4489,5934,0,14283,4127,3755
2016-04-24 00:00:00,3073,2117,10530,8088,0,10456,2962,7482,0,1351,0,0,0,0,0,10154,14684,10332,9301,8594,2691,3272,0,10376,11152,23181,9992,2782,12875,4172,6902,15726,11879,830,11202,2697,6278,16931,11046,10783,10059,12590,19234,7658,13081,0,472,1687,1311,22128,0,7482,2246,12015,0,9157,0,1283,8023,2939,7566,12413,11879,0,9992,0,0,10046,0,0,4972,12579,1687,0,0,0,0,0,0,6278,3765,0,9301,4657,0,0,0,0,0,0,0,5775,10323,1846,0,7566,6797,1727
2016-04-25 00:00:00,11116,7925,10421,13764,0,13847,9517,13597,0,5387,0,0,0,0,0,15399,9160,17635,19297,15849,7426,16470,0,22216,26035,26657,9984,6215,20745,9993,6044,12622,13613,7040,12455,9576,9993,12976,13748,14123,10000,12930,7755,11664,23080,0,9804,10742,9450,18499,0,13597,7204,16138,0,11049,0,7005,1713,8247,3459,13567,13613,0,9984,0,0,12817,0,0,13087,9683,10742,0,0,0,0,0,0,9993,11869,0,19297,8394,0,0,0,0,0,0,0,13957,12123,24789,0,3459,11046,8474
2016-04-26 00:00:00,11220,10310,10464,9191,0,10543,3181,17018,0,6482,0,0,0,0,0,18844,10891,19899,18144,16789,2844,10534,0,23322,23220,22706,7644,5814,5462,21072,13710,12087,12460,9461,15720,8905,11856,22336,10036,10981,10655,13220,17626,13141,22556,0,798,3556,4982,14178,0,17018,11183,18265,0,13466,0,4612,7699,5944,12288,21209,12460,0,7644,0,0,17097,0,0,9935,9053,3556,0,0,0,0,0,0,11856,10112,0,18144,7713,0,0,0,0,0,0,0,12934,13685,11592,0,12288,4873,11214
2016-04-27 00:00:00,2523,6804,10979,15852,0,11502,14013,14732,0,7112,0,0,0,0,0,21603,16627,18852,7904,9243,5797,6512,0,19310,19108,21748,15028,9745,327,6178,5443,18124,19744,14759,8329,5388,8209,15438,9922,11355,9686,6309,13952,14770,24535,0,10512,8859,6524,3129,0,14732,9491,12953,0,6320,0,8611,13637,8393,16848,11162,19744,0,15028,0,0,10675,0,0,10432,7632,8859,0,0,0,0,0,0,8209,10902,0,7904,9718,0,0,0,0,0,0,0,14877,10703,17366,0,16848,5761,12510
2016-04-28 00:00:00,0,8980,6367,18481,0,13285,13740,13051,0,4967,0,0,0,0,0,10062,13148,12434,10917,14160,6056,13441,0,18559,18262,9783,8328,11396,1924,11314,1762,12252,8435,14787,12130,5854,10925,12834,16510,12021,12491,12245,18311,10070,21120,0,9106,7238,13256,11110,0,13051,8615,17331,0,12531,0,10009,7772,8158,17465,17769,8435,0,8328,0,0,12145,0,0,6763,11781,7238,0,0,0,0,0,0,10925,13167,0,10917,9191,0,0,0,0,0,0,0,11014,17010,10342,0,17465,7319,8297
2016-04-29 00:00:00,10822,0,6492,16986,0,11796,5103,9885,0,4644,0,0,0,0,0,14162,18862,20971,11670,22156,7652,4251,0,16835,18658,18233,1166,11829,7983,9359,10556,14823,5464,669,12082,9961,7506,10319,21714,10777,7293,15707,10000,7568,20105,0,9383,8126,834,20289,0,9885,6569,18830,0,530,0,1900,70,9009,15702,13102,5464,0,1166,0,0,17333,0,0,9173,5321,8126,0,0,0,0,0,0,7506,10047,0,11670,8549,0,0,0,0,0,0,0,15288,8509,22420,0,15702,2949,6951
2016-04-30 00:00:00,5329,0,11587,11254,0,23043,16990,10753,0,488,0,0,0,0,0,12980,11397,26341,1925,18704,7060,4637,0,11391,22542,15073,5215,8699,6407,4263,3517,16507,8785,13848,4448,5513,2408,28394,8084,12465,7379,13347,22592,429,18676,0,7733,1718,2727,1969,0,10753,3820,11289,0,5392,0,6365,12742,4701,4701,14039,8785,0,5215,0,0,14442,0,0,12012,10974,1718,0,0,0,0,0,0,2408,10827,0,1925,4381,0,0,0,0,0,0,0,9352,5307,6460,0,17570,3161,6274
2016-05-01 00:00:00,10019,0,10839,7686,0,10695,5830,10136,0,2539,0,0,0,0,0,7830,29019,8366,17096,10269,4391,6442,0,9312,20332,21815,7038,4009,565,12992,0,14011,0,101,11294,7161,829,8284,9662,11912,4003,7444,25646,3285,13189,0,4632,1485,6688,8252,0,10136,6050,31228,0,7936,0,160,1,5911,98,10025,0,0,7038,0,0,4887,0,0,11232,10324,1485,0,0,0,0,0,0,829,6301,0,17096,7051,0,0,0,0,0,0,0,6385,7633,20275,0,98,0,9324
2016-05-02 00:00:00,576,5842,11,14731,0,10120,11931,16639,0,6696,0,0,0,0,0,12017,8063,13788,8864,110,115,7792,0,21539,21045,15979,8919,13214,20496,8528,0,7720,0,8098,11818,10315,6683,15549,16958,18034,4160,9086,20542,12736,12888,0,10236,7429,9628,8521,0,16639,5692,13182,0,15876,0,501,12096,8861,0,7533,0,0,8919,0,0,12122,0,0,7182,9920,7429,0,0,0,0,0,0,6683,4651,0,8864,9581,0,0,0,0,0,0,0,12800,5250,18887,0,0,3526,10637
2016-05-03 00:00:00,0,8112,9929,20180,0,10460,7366,10454,0,6837,0,0,0,0,0,0,10694,5454,11420,14750,5031,9590,0,20157,19030,18808,15281,12960,86,4160,0,16552,0,12039,13942,7892,12770,20852,10158,8790,10830,14202,4667,12438,12903,0,10873,5316,6399,7151,0,10454,6788,21201,0,17343,0,6802,18844,10123,0,10894,0,0,15281,0,0,9964,0,0,1708,6609,5316,0,0,0,0,0,0,12770,7318,0,11420,7284,0,0,0,0,0,0,0,11998,14498,6797,0,0,4536,9868
2016-05-04 00:00:00,0,8872,14483,13292,0,12333,15588,11944,0,9725,0,0,0,0,0,0,20641,12559,14109,8326,10344,11012,0,13493,20966,25057,9532,18695,19873,6486,0,12422,0,13294,11415,8312,7497,17182,11349,11177,10015,11200,21056,13449,17317,0,8194,7736,6403,0,0,11944,6529,23598,0,10463,0,7763,8291,11548,0,16615,0,0,9532,0,0,11716,0,0,8763,7120,7736,0,0,0,0,0,0,7497,12104,0,14109,11660,0,0,0,0,0,0,0,14427,11915,13807,0,0,9181,8598
2016-05-05 00:00:00,8712,10606,7739,7424,0,12083,6096,10041,0,3053,0,0,0,0,0,0,19920,11304,12297,11565,7697,3445,0,6646,20435,20955,13514,10459,20428,792,0,12227,0,5305,5541,0,1657,4782,14955,10580,1470,9011,34499,4544,13840,0,8930,4717,5820,0,0,10041,3532,22427,0,5057,0,4165,5686,9882,6425,16084,0,0,13514,0,0,9764,0,0,8171,978,4717,0,0,0,0,0,0,1657,7548,0,12297,6357,0,0,0,0,0,0,0,11133,10312,2191,0,6425,5364,3510
