A01,13468,1148,511,15127
A02,5877,1296,726,7899
A03,9282,1367,448,11097
A04,15263,1351,383,16997
A05,10805,1399,382,12586
A06,17250,1407,540,19197
A07,17993,1402,468,19863
A08,0,1430,512,1942
A09,0,0,0,0
A010,4296,1366,496,6158
A011,0,0,0,0
A012,0,0,0,0
A013,0,0,0,0
A014,0,0,0,0
A015,0,0,0,0
A016,20006,1355,433,21794
A017,17216,1395,363,18974
A018,11680,1376,358,13414
A019,11970,1202,528,13700
A020,13368,1392,142,14902
A021,17512,1406,437,19355
A022,21456,1406,482,23344
A023,0,0,0,0
A024,19345,1420,63,20828
A025,20103,1395,409,21907
A026,11393,1363,492,13248
A027,6727,1300,553,8580
A028,8873,1285,481,10639
A029,10326,1293,442,12061
A030,1180,638,213,2031
A031,24562,823,0,25385
A032,16016,1406,500,17922
A033,16256,0,551,16807
A034,7850,1415,497,9762
A035,8575,1277,507,10359
A036,7174,1355,487,9016
A037,15654,1399,428,17481
A038,365,7,0,372
A039,3384,1380,777,5541
A040,13211,855,0,14066
A041,13942,1363,308,15613
A042,18242,1373,673,20288
A043,23392,1423,459,25274
A044,9859,1356,417,11632
A045,12881,1354,336,14571
A046,0,0,0,0
A047,11200,1342,315,12857
A048,8834,1247,260,10341
A049,1983,1378,760,4121
A050,8352,583,0,8935
A051,0,0,0,0
A052,16205,1430,512,18147
A053,0,0,0,0
A054,14436,1421,237,16094
A055,0,0,0,0
A056,12224,1380,421,14025
A057,0,0,0,0
A058,29,22,0,51
A059,3643,1244,459,5346
A060,7266,1390,355,9011
A061,12123,0,0,12123
A062,17531,1397,398,19326
A063,16256,0,551,16807
A064,0,0,0,0
A065,6727,1300,553,8580
A066,0,0,0,0
A067,0,0,0,0
A068,11838,1409,548,13795
A069,0,0,0,0
A070,0,0,0,0
A071,7298,1379,544,9221
A072,19294,801,0,20095
A073,8834,1247,260,10341
A074,0,0,0,0
A075,0,0,0,0
A076,0,0,0,0
A077,0,0,0,0
A078,0,0,0,0
A079,0,0,0,0
A080,15654,1399,428,17481
A081,12859,1381,423,14663
A082,0,0,0,0
A083,11970,1202,528,13700
A084,17038,1418,315,18771
A085,0,0,0,0
A086,0,0,0,0
A087,0,0,0,0
A088,0,0,0,0
A089,0,0,0,0
A090,0,0,0,0
A091,0,0,0,0
A092,20023,1394,275,21692
A093,11040,1287,369,12696
A094,13572,1438,273,15283
A095,0,0,0,0
A096,12123,0,0,12123
A097,2342,1176,516,4034
A098,0,0,0,0
